HOLD8-ATAC-CTRL	HO-172	1972
HOLD8-ATAC-LPS	HO-167	616
HOLD8-ATAC-LPS	HO-117	1099
HOLD8-ATAC-LPS	HO-035	1208
HOLD8-ATAC-LPS	HO-098	1284
HOLD8-ATAC-LPS	HO-178	1377
HOLD8-ATAC-LPS	HO-031	1392
HOLD8-ATAC-LPS	HO-153	1417
HOLD8-ATAC-LPS	HO-083	1479
HOLD8-ATAC-LPS	HO-119	1603
HOLD8-ATAC-LPS	HO-172	1651
HOLD8-ATAC-LPS	HO-144	1715
HOLD8-ATAC-LPS	HO-155	1772
HOLD9-ATAC-CTRL	HO-011	1133
HOLD9-ATAC-CTRL	HO-009	1290
HOLD9-ATAC-CTRL	HO-005	1392
HOLD9-ATAC-CTRL	HO-130	1418
HOLD9-ATAC-CTRL	HO-060	1479
HOLD9-ATAC-CTRL	HO-118	1497
HOLD9-ATAC-CTRL	HO-015	1508
HOLD9-ATAC-CTRL	HO-087	1527
HOLD9-ATAC-CTRL	HO-146	1569
HOLD9-ATAC-CTRL	HO-044	1664
HOLD9-ATAC-CTRL	HO-134	1795
HOLD9-ATAC-CTRL	HO-097	2061
HOLD9-ATAC-LPS	HO-011	1171
HOLD9-ATAC-LPS	HO-009	1324
HOLD9-ATAC-LPS	HO-005	1435
HOLD9-ATAC-LPS	HO-118	1448
HOLD9-ATAC-LPS	HO-015	1465
HOLD9-ATAC-LPS	HO-130	1487
HOLD9-ATAC-LPS	HO-060	1519
HOLD9-ATAC-LPS	HO-087	1567
HOLD9-ATAC-LPS	HO-146	1677
HOLD9-ATAC-LPS	HO-044	1710
HOLD9-ATAC-LPS	HO-134	1790
HOLD9-ATAC-LPS	HO-097	2157
